symptom_english,symptom_hindi,symptom_tamil,severity,advice_english,advice_hindi,advice_tamil,first_aid_english,first_aid_hindi,first_aid_tamil
Back Pain,कमर दर्द,முதுகுவலி,H,"Apply hot or cold compress. Do gentle stretching.","गर्म या ठंडी सिकाई करें। हल्की स्ट्रेचिंग करें।","சூடான அல்லது குளிர்ந்த ஒத்தடம் கொடுக்கவும். மெதுவான பயிற்சி செய்யவும்.","Apply heat or ice pack, gentle movement","गर्म या बर्फ की पट्टी लगाएं","சூடு அல்லது பனிக்கட்டி பயன்படுத்தவும்"
Cut Wound,कट घाव,வெட்டு காயம்,H,"Clean wound with water. Apply antiseptic.","घाव को पानी से साफ करें। एंटीसेप्टिक लगाएं।","காயத்தை தண்ணீரால் சுத்தம் செய்யவும். கிருமி நாசினி தடவவும்.","Clean hands first, stop bleeding, clean wound gently","पहले हाथ साफ करें, खून बंद करें","முதலில் கைகளைச் சுத்தம் செய்யவும்"
Burn,जला,தீக்காயம்,D,"Cool with water for 10 minutes. Do not use ice.","10 मिनट तक पानी से ठंडा करें। बर्फ का इस्तेमाल न करें।","10 நிமிடங்களுக்கு தண்ணீரால் குளிர்விக்கவும். பனிக்கட்டி பயன்படுத்த வேண்டாம்.","Run cool water over burn, cover with clean cloth","ठंडा पानी बहाएं, साफ कपड़े से ढकें","குளிர்ந்த நீர் ஊற்றவும், சுத்தமான துணியால் மூடவும்"
Vomiting,उल्टी,வாந்தி,H,"Stop eating. Take small sips of water.","खाना बंद करें। थोड़ा-थोड़ा पानी पिएं।","சாப்பிடுவதை நிறுத்தவும். கொஞ்சம் கொஞ்சமாக தண்ணீர் குடிக்கவும்.","Keep hydrated with small sips, avoid solid food","छोटी घूंट से पानी दें","சிறிய அளவில் தண்ணீர் கொடுக்கவும்"
Dizziness,चक्कर आना,தலைச்சுற்றல்,H,"Sit down immediately. Drink water slowly.","तुरंत बैठ जाएं। धीरे-धीरे पानी पिएं।","உடனே உட்கார்ந்து கொள்ளுங்கள். மெதுவாக தண்ணீர் குடிக்கவும்.","Have person sit with head between knees","घुटनों के बीच सिर रखकर बिठाएं","முழங்காலுக்கு இடையே தலை வைத்து உட்காரவைக்கவும்"
Nausea,जी मिचलाना,குமட்டல்,H,"Eat light foods. Drink ginger tea.","हल्का खाना खाएं। अदरक की चाय पिएं।","எளிய உணவு சாப்பிடவும். இஞ்சி தேநீர் குடிக்கவும்.","Give small amounts of clear fluids","साफ तरल पदार्थ की छोटी मात्रा दें","தெளிவான திரவங்களை சிறிய அளவில் கொடுக்கவும்"
Sprain,मोच,சுளுக்கு,H,"Rest the area and avoid strenuous activity. Apply ice for 10-15 minutes.","प्रभावित हिस्से को आराम दें और अधिक मेहनत से बचें। 10-15 मिनट के लिए बर्फ लगाएं।","பாதிக்கப்பட்ட பகுதியை ஓய்விடுங்கள் மற்றும் கடுமையான செயற்பாடுகளைத் தவிர்க்கவும். 10-15 நிமிடங்கள் பனிக்கட்டி பயன்படுத்தவும்.","Rest, Ice, Compression, Elevation","आराम, बर्फ, दबाव, ऊंचाई","ஓய்வு, பனி, அமுக்கம், உயர்த்தல்"
Insect Bite,कीड़े का काटना,பூச்சி கடித்தல்,H,"Clean the area with soap and water. Apply soothing lotion if itchy.","क्षेत्र को साबुन और पानी से साफ करें। खुजली होने पर आराम देने वाली लोशन लगाएं।","பகுதியை சோப்பும் தண்ணீரும் கொண்டு சுத்தம் செய்யவும். தொந்தரவு இருந்தால் சாந்தி லோஷன் பயன்படுத்தவும்.","Wash, cold compress if swelling","धोएं, सूजन होने पर ठंडी पट्टी","சுத்தம் செய்யவும், வீக்கம் இருந்தால் குளிர் ஒத்தடம்"
Nose Bleed,नकसीर,மூக்கில் இரத்தம்,H,"Sit upright and lean slightly forward. Pinch the soft part of the nose for 10 minutes.","सीधे बैठें और हल्का आगे झुकें। नाक के मुलायम हिस्से को 10 मिनट के लिए दबाएं।","நேராக உட்காருங்கள் மற்றும் சிறிது முன்னால் சாய்ந்து கொள்ளுங்கள். மூக்கின் மென்மையான பகுதியை 10 நிமிடங்கள் அழுத்தவும்.","Sit upright, pinch nose, apply cold pack","सीधे बैठें, नाक दबाएं, ठंडी पट्टी लगाएं","நேராக உட்காரவும், மூக்கை அழுத்தவும், குளிர் ஒத்தடம்"
Eye Irritation,आंखों में जलन,கண் எரிச்சல்,H,"Rinse eyes with clean water. Avoid rubbing. Remove contact lenses if present.","आंखों को साफ पानी से धोएं। रगड़ें नहीं। यदि कॉन्टैक्ट लेंस हैं तो निकालें।","கண்களை சுத்தமான தண்ணீரால் கழுவவும். உண்ணாதீர்கள். தொடர்பு லென்ஸ் இருந்தால் அகற்றவும்.","Flush eyes with water, avoid rubbing","पानी से धोएं, रगड़ने से बचें","தண்ணீரால் கழுவவும், உண்ணாதீர்கள்"
Food Poisoning,खराब खाना,உணவு விஷம்,D,"Stay hydrated with ORS. Eat bland foods. Monitor for severe symptoms.","ORS से पानी पिएं। सादा भोजन खाएं। गंभीर लक्षणों पर ध्यान दें।","ORS மூலம் நீரேற்றமாக இருக்கவும். எளிய உணவு சாப்பிடவும். தீவிர அறிகுறிகளைக் கவனிக்கவும்.","Give ORS, light meals, rest","ORS दें, हल्का भोजन, आराम","ORS கொடுக்கவும், எளிய உணவு, ஓய்வு"
Dehydration,निर्जलीकरण,நீரிழப்பு,D,"Drink ORS slowly. Rest in a cool place. Monitor urine output.","ORS धीरे-धीरे पिएं। ठंडी जगह आराम करें। पेशाब की मात्रा देखें।","ORS மெதுவாக குடிக்கவும். குளிர்ந்த இடத்தில் ஓய்வு எடுக்கவும். சிறுநீர் அளவைக் கண்காணிக்கவும்.","Give ORS, keep cool, monitor hydration","ORS दें, ठंडे रहें, निगरानी करें","ORS கொடுக்கவும், குளிர்ச்சியான இடத்தில் இருங்கள், நீர் பராமரிப்பு"
Allergic Reaction,एलर्जी,ஒவ்வாமை,D,"Identify and remove allergen. Take antihistamine if available.","एलर्जी का कारण पहचानें और हटाएं। उपलब्ध हो तो एंटीहिस्टामाइन लें।","ஒவ்வாமை காரணத்தை கண்டறிந்து அகற்றவும். இருந்தால் ஆன்டிஹிஸ்டமைன் எடுத்துக்கொள்ளவும்.","Remove allergen, antihistamine if needed","एलर्जेन हटाएं, एंटीहिस्टामाइन लें","ஒவ்வாமையை அகற்றவும், தேவையெனில் ஆன்டிஹிஸ்டமைன்"
Heat Stroke,गर्मी लगना,வெப்ப பக்கவாதம்,E,"Move to cool place. Remove excess clothing. Rehydrate. Call emergency if severe.","ठंडी जगह ले जाएं। अतिरिक्त कपड़े उतारें। पानी पिएं। गंभीर होने पर आपातकाल बुलाएं।","குளிர்ந்த இடத்திற்கு நகர்த்தவும். கூடுதல் உடைகள் அகற்றவும். நீர் குடிக்கவும். தீவிரமானால் அவசர சேவை அழைக்கவும்.","Cool environment, remove clothing, hydrate","ठंडा स्थान, कपड़े हटाएं, पानी पिएं","குளிர் இடம், உடைகள் அகற்று, நீர் குடி"
